,numbers_of_neurons_on_first_convolutional_layer,number_of_neurons_on_second_convolutional_layer,number_of_neurons_on_hidden_layer,number_of_neurons_on_exit_layer,activation_function_of_first_convolutional_layer,activation_function_of_second_convolutional_layer,activation_function_of_first_hidden_layer,activation_function_of_exit_layer,lose_verify_function,optimizator_type,metric,training_quota,epochs,amostras,use_hard_test_data_to_validate_model,images_folder_path,result_metric,result_loss
40,9,9,64,10,relu,tanh,tanh,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9848333597183228,0.05383696034550667
44,9,9,64,10,relu,tanh,tanh,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9831666946411133,0.03990195319056511
43,9,9,64,10,relu,tanh,tanh,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9831666946411133,0.06868954747915268
28,9,9,64,10,relu,tanh,relu,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9821666479110718,0.041253574192523956
76,9,9,64,10,tanh,tanh,relu,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9816666841506958,0.043143074959516525
72,9,9,64,10,tanh,tanh,relu,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9816666841506958,0.06190187484025955
91,9,9,64,10,tanh,tanh,tanh,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9810000061988831,0.07104998081922531
80,9,9,64,10,tanh,tanh,sigmoid,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9810000061988831,0.09291201829910278
0,9,9,64,10,relu,sigmoid,relu,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9804999828338623,0.06841909140348434
88,9,9,64,10,tanh,tanh,tanh,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9804999828338623,0.0636870265007019
73,9,9,64,10,tanh,tanh,relu,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9804999828338623,0.06183207035064697
95,9,9,64,10,tanh,tanh,tanh,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9803333282470703,0.04758249595761299
65,9,9,64,10,tanh,sigmoid,tanh,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9800000190734863,0.07638619095087051
92,9,9,64,10,tanh,tanh,tanh,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9800000190734863,0.04689813777804375
3,9,9,64,10,relu,sigmoid,relu,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9798333048820496,0.07480104267597198
1,9,9,64,10,relu,sigmoid,relu,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9798333048820496,0.07635128498077393
75,9,9,64,10,tanh,tanh,relu,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9798333048820496,0.0701080858707428
48,9,9,64,10,tanh,sigmoid,relu,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9796666502952576,0.07449934631586075
29,9,9,64,10,relu,tanh,relu,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9794999957084656,0.04436146467924118
47,9,9,64,10,relu,tanh,tanh,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9794999957084656,0.04880806431174278
51,9,9,64,10,tanh,sigmoid,relu,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9793333411216736,0.07414105534553528
20,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9791666865348816,0.05248033255338669
16,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9789999723434448,0.08388872444629669
27,9,9,64,10,relu,tanh,relu,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9788333177566528,0.07326851785182953
23,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9786666631698608,0.055365949869155884
64,9,9,64,10,tanh,sigmoid,tanh,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9785000085830688,0.08060317486524582
17,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9785000085830688,0.0740797147154808
31,9,9,64,10,relu,tanh,relu,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9783333539962769,0.04988889396190643
24,9,9,64,10,relu,tanh,relu,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9783333539962769,0.0763835608959198
67,9,9,64,10,tanh,sigmoid,tanh,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9779999852180481,0.0810108408331871
68,9,9,64,10,tanh,sigmoid,tanh,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9776666760444641,0.05807982385158539
41,9,9,64,10,relu,tanh,tanh,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9775000214576721,0.07225585728883743
45,9,9,64,10,relu,tanh,tanh,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9775000214576721,0.049171965569257736
79,9,9,64,10,tanh,tanh,relu,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9773333072662354,0.0545341894030571
7,9,9,64,10,relu,sigmoid,relu,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9771666526794434,0.055956508964300156
89,9,9,64,10,tanh,tanh,tanh,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9769999980926514,0.08279591053724289
25,9,9,64,10,relu,tanh,relu,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9768333435058594,0.08396857976913452
19,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.9768333435058594,0.0910918265581131
