,possible_activation_function_of_first_layer,possible_activation_function_of_exit_layer,possible_lose_verify_function,possible_optimizator_type,possible_metric
0,relu,relu,mean_squared_error,sgd,accuracy
1,relu,relu,mean_squared_error,sgd,mean_squared_error
2,relu,relu,mean_squared_error,sgd,mean_absolute_error
3,relu,relu,mean_squared_error,adam,accuracy
4,relu,relu,mean_squared_error,adam,mean_squared_error
5,relu,relu,mean_squared_error,adam,mean_absolute_error
6,relu,relu,mean_squared_error,rmsprop,accuracy
7,relu,relu,mean_squared_error,rmsprop,mean_squared_error
8,relu,relu,mean_squared_error,rmsprop,mean_absolute_error
9,relu,relu,mean_squared_error,adagrad,accuracy
10,relu,relu,mean_squared_error,adagrad,mean_squared_error
11,relu,relu,mean_squared_error,adagrad,mean_absolute_error
12,relu,relu,binary_crossentropy,sgd,accuracy
13,relu,relu,binary_crossentropy,sgd,mean_squared_error
14,relu,relu,binary_crossentropy,sgd,mean_absolute_error
15,relu,relu,binary_crossentropy,adam,accuracy
16,relu,relu,binary_crossentropy,adam,mean_squared_error
17,relu,relu,binary_crossentropy,adam,mean_absolute_error
18,relu,relu,binary_crossentropy,rmsprop,accuracy
19,relu,relu,binary_crossentropy,rmsprop,mean_squared_error
20,relu,relu,binary_crossentropy,rmsprop,mean_absolute_error
21,relu,relu,binary_crossentropy,adagrad,accuracy
22,relu,relu,binary_crossentropy,adagrad,mean_squared_error
23,relu,relu,binary_crossentropy,adagrad,mean_absolute_error
24,relu,relu,categorical_crossentropy,sgd,accuracy
25,relu,relu,categorical_crossentropy,sgd,mean_squared_error
26,relu,relu,categorical_crossentropy,sgd,mean_absolute_error
27,relu,relu,categorical_crossentropy,adam,accuracy
28,relu,relu,categorical_crossentropy,adam,mean_squared_error
29,relu,relu,categorical_crossentropy,adam,mean_absolute_error
30,relu,relu,categorical_crossentropy,rmsprop,accuracy
31,relu,relu,categorical_crossentropy,rmsprop,mean_squared_error
32,relu,relu,categorical_crossentropy,rmsprop,mean_absolute_error
33,relu,relu,categorical_crossentropy,adagrad,accuracy
34,relu,relu,categorical_crossentropy,adagrad,mean_squared_error
35,relu,relu,categorical_crossentropy,adagrad,mean_absolute_error
36,relu,relu,mean_absolute_error,sgd,accuracy
37,relu,relu,mean_absolute_error,sgd,mean_squared_error
38,relu,relu,mean_absolute_error,sgd,mean_absolute_error
39,relu,relu,mean_absolute_error,adam,accuracy
40,relu,relu,mean_absolute_error,adam,mean_squared_error
41,relu,relu,mean_absolute_error,adam,mean_absolute_error
42,relu,relu,mean_absolute_error,rmsprop,accuracy
43,relu,relu,mean_absolute_error,rmsprop,mean_squared_error
44,relu,relu,mean_absolute_error,rmsprop,mean_absolute_error
45,relu,relu,mean_absolute_error,adagrad,accuracy
46,relu,relu,mean_absolute_error,adagrad,mean_squared_error
47,relu,relu,mean_absolute_error,adagrad,mean_absolute_error
48,relu,sigmoid,mean_squared_error,sgd,accuracy
49,relu,sigmoid,mean_squared_error,sgd,mean_squared_error
50,relu,sigmoid,mean_squared_error,sgd,mean_absolute_error
51,relu,sigmoid,mean_squared_error,adam,accuracy
52,relu,sigmoid,mean_squared_error,adam,mean_squared_error
53,relu,sigmoid,mean_squared_error,adam,mean_absolute_error
54,relu,sigmoid,mean_squared_error,rmsprop,accuracy
55,relu,sigmoid,mean_squared_error,rmsprop,mean_squared_error
56,relu,sigmoid,mean_squared_error,rmsprop,mean_absolute_error
57,relu,sigmoid,mean_squared_error,adagrad,accuracy
58,relu,sigmoid,mean_squared_error,adagrad,mean_squared_error
59,relu,sigmoid,mean_squared_error,adagrad,mean_absolute_error
60,relu,sigmoid,binary_crossentropy,sgd,accuracy
61,relu,sigmoid,binary_crossentropy,sgd,mean_squared_error
62,relu,sigmoid,binary_crossentropy,sgd,mean_absolute_error
63,relu,sigmoid,binary_crossentropy,adam,accuracy
64,relu,sigmoid,binary_crossentropy,adam,mean_squared_error
65,relu,sigmoid,binary_crossentropy,adam,mean_absolute_error
66,relu,sigmoid,binary_crossentropy,rmsprop,accuracy
67,relu,sigmoid,binary_crossentropy,rmsprop,mean_squared_error
68,relu,sigmoid,binary_crossentropy,rmsprop,mean_absolute_error
69,relu,sigmoid,binary_crossentropy,adagrad,accuracy
70,relu,sigmoid,binary_crossentropy,adagrad,mean_squared_error
71,relu,sigmoid,binary_crossentropy,adagrad,mean_absolute_error
72,relu,sigmoid,categorical_crossentropy,sgd,accuracy
73,relu,sigmoid,categorical_crossentropy,sgd,mean_squared_error
74,relu,sigmoid,categorical_crossentropy,sgd,mean_absolute_error
75,relu,sigmoid,categorical_crossentropy,adam,accuracy
76,relu,sigmoid,categorical_crossentropy,adam,mean_squared_error
77,relu,sigmoid,categorical_crossentropy,adam,mean_absolute_error
78,relu,sigmoid,categorical_crossentropy,rmsprop,accuracy
79,relu,sigmoid,categorical_crossentropy,rmsprop,mean_squared_error
80,relu,sigmoid,categorical_crossentropy,rmsprop,mean_absolute_error
81,relu,sigmoid,categorical_crossentropy,adagrad,accuracy
82,relu,sigmoid,categorical_crossentropy,adagrad,mean_squared_error
83,relu,sigmoid,categorical_crossentropy,adagrad,mean_absolute_error
84,relu,sigmoid,mean_absolute_error,sgd,accuracy
85,relu,sigmoid,mean_absolute_error,sgd,mean_squared_error
86,relu,sigmoid,mean_absolute_error,sgd,mean_absolute_error
87,relu,sigmoid,mean_absolute_error,adam,accuracy
88,relu,sigmoid,mean_absolute_error,adam,mean_squared_error
89,relu,sigmoid,mean_absolute_error,adam,mean_absolute_error
90,relu,sigmoid,mean_absolute_error,rmsprop,accuracy
91,relu,sigmoid,mean_absolute_error,rmsprop,mean_squared_error
92,relu,sigmoid,mean_absolute_error,rmsprop,mean_absolute_error
93,relu,sigmoid,mean_absolute_error,adagrad,accuracy
94,relu,sigmoid,mean_absolute_error,adagrad,mean_squared_error
95,relu,sigmoid,mean_absolute_error,adagrad,mean_absolute_error
96,relu,tanh,mean_squared_error,sgd,accuracy
97,relu,tanh,mean_squared_error,sgd,mean_squared_error
98,relu,tanh,mean_squared_error,sgd,mean_absolute_error
99,relu,tanh,mean_squared_error,adam,accuracy
100,relu,tanh,mean_squared_error,adam,mean_squared_error
101,relu,tanh,mean_squared_error,adam,mean_absolute_error
102,relu,tanh,mean_squared_error,rmsprop,accuracy
103,relu,tanh,mean_squared_error,rmsprop,mean_squared_error
104,relu,tanh,mean_squared_error,rmsprop,mean_absolute_error
105,relu,tanh,mean_squared_error,adagrad,accuracy
106,relu,tanh,mean_squared_error,adagrad,mean_squared_error
107,relu,tanh,mean_squared_error,adagrad,mean_absolute_error
108,relu,tanh,binary_crossentropy,sgd,accuracy
109,relu,tanh,binary_crossentropy,sgd,mean_squared_error
110,relu,tanh,binary_crossentropy,sgd,mean_absolute_error
111,relu,tanh,binary_crossentropy,adam,accuracy
112,relu,tanh,binary_crossentropy,adam,mean_squared_error
113,relu,tanh,binary_crossentropy,adam,mean_absolute_error
114,relu,tanh,binary_crossentropy,rmsprop,accuracy
115,relu,tanh,binary_crossentropy,rmsprop,mean_squared_error
116,relu,tanh,binary_crossentropy,rmsprop,mean_absolute_error
117,relu,tanh,binary_crossentropy,adagrad,accuracy
118,relu,tanh,binary_crossentropy,adagrad,mean_squared_error
119,relu,tanh,binary_crossentropy,adagrad,mean_absolute_error
120,relu,tanh,categorical_crossentropy,sgd,accuracy
121,relu,tanh,categorical_crossentropy,sgd,mean_squared_error
122,relu,tanh,categorical_crossentropy,sgd,mean_absolute_error
123,relu,tanh,categorical_crossentropy,adam,accuracy
124,relu,tanh,categorical_crossentropy,adam,mean_squared_error
125,relu,tanh,categorical_crossentropy,adam,mean_absolute_error
126,relu,tanh,categorical_crossentropy,rmsprop,accuracy
127,relu,tanh,categorical_crossentropy,rmsprop,mean_squared_error
128,relu,tanh,categorical_crossentropy,rmsprop,mean_absolute_error
129,relu,tanh,categorical_crossentropy,adagrad,accuracy
130,relu,tanh,categorical_crossentropy,adagrad,mean_squared_error
131,relu,tanh,categorical_crossentropy,adagrad,mean_absolute_error
132,relu,tanh,mean_absolute_error,sgd,accuracy
133,relu,tanh,mean_absolute_error,sgd,mean_squared_error
134,relu,tanh,mean_absolute_error,sgd,mean_absolute_error
135,relu,tanh,mean_absolute_error,adam,accuracy
136,relu,tanh,mean_absolute_error,adam,mean_squared_error
137,relu,tanh,mean_absolute_error,adam,mean_absolute_error
138,relu,tanh,mean_absolute_error,rmsprop,accuracy
139,relu,tanh,mean_absolute_error,rmsprop,mean_squared_error
140,relu,tanh,mean_absolute_error,rmsprop,mean_absolute_error
141,relu,tanh,mean_absolute_error,adagrad,accuracy
142,relu,tanh,mean_absolute_error,adagrad,mean_squared_error
143,relu,tanh,mean_absolute_error,adagrad,mean_absolute_error
144,relu,softmax,mean_squared_error,sgd,accuracy
145,relu,softmax,mean_squared_error,sgd,mean_squared_error
146,relu,softmax,mean_squared_error,sgd,mean_absolute_error
147,relu,softmax,mean_squared_error,adam,accuracy
148,relu,softmax,mean_squared_error,adam,mean_squared_error
149,relu,softmax,mean_squared_error,adam,mean_absolute_error
150,relu,softmax,mean_squared_error,rmsprop,accuracy
151,relu,softmax,mean_squared_error,rmsprop,mean_squared_error
152,relu,softmax,mean_squared_error,rmsprop,mean_absolute_error
153,relu,softmax,mean_squared_error,adagrad,accuracy
154,relu,softmax,mean_squared_error,adagrad,mean_squared_error
155,relu,softmax,mean_squared_error,adagrad,mean_absolute_error
156,relu,softmax,binary_crossentropy,sgd,accuracy
157,relu,softmax,binary_crossentropy,sgd,mean_squared_error
158,relu,softmax,binary_crossentropy,sgd,mean_absolute_error
159,relu,softmax,binary_crossentropy,adam,accuracy
160,relu,softmax,binary_crossentropy,adam,mean_squared_error
161,relu,softmax,binary_crossentropy,adam,mean_absolute_error
162,relu,softmax,binary_crossentropy,rmsprop,accuracy
163,relu,softmax,binary_crossentropy,rmsprop,mean_squared_error
164,relu,softmax,binary_crossentropy,rmsprop,mean_absolute_error
165,relu,softmax,binary_crossentropy,adagrad,accuracy
166,relu,softmax,binary_crossentropy,adagrad,mean_squared_error
167,relu,softmax,binary_crossentropy,adagrad,mean_absolute_error
168,relu,softmax,categorical_crossentropy,sgd,accuracy
169,relu,softmax,categorical_crossentropy,sgd,mean_squared_error
170,relu,softmax,categorical_crossentropy,sgd,mean_absolute_error
171,relu,softmax,categorical_crossentropy,adam,accuracy
172,relu,softmax,categorical_crossentropy,adam,mean_squared_error
173,relu,softmax,categorical_crossentropy,adam,mean_absolute_error
174,relu,softmax,categorical_crossentropy,rmsprop,accuracy
175,relu,softmax,categorical_crossentropy,rmsprop,mean_squared_error
176,relu,softmax,categorical_crossentropy,rmsprop,mean_absolute_error
177,relu,softmax,categorical_crossentropy,adagrad,accuracy
178,relu,softmax,categorical_crossentropy,adagrad,mean_squared_error
179,relu,softmax,categorical_crossentropy,adagrad,mean_absolute_error
180,relu,softmax,mean_absolute_error,sgd,accuracy
181,relu,softmax,mean_absolute_error,sgd,mean_squared_error
182,relu,softmax,mean_absolute_error,sgd,mean_absolute_error
183,relu,softmax,mean_absolute_error,adam,accuracy
184,relu,softmax,mean_absolute_error,adam,mean_squared_error
185,relu,softmax,mean_absolute_error,adam,mean_absolute_error
186,relu,softmax,mean_absolute_error,rmsprop,accuracy
187,relu,softmax,mean_absolute_error,rmsprop,mean_squared_error
188,relu,softmax,mean_absolute_error,rmsprop,mean_absolute_error
189,relu,softmax,mean_absolute_error,adagrad,accuracy
190,relu,softmax,mean_absolute_error,adagrad,mean_squared_error
191,relu,softmax,mean_absolute_error,adagrad,mean_absolute_error
