,numbers_of_neurons_on_first_layer,number_of_neurons_on_second_layer,number_of_neurons_on_third_layer,number_of_neurons_on_exit_layer,activation_function_of_first_layer,activation_function_of_second_layer,activation_function_of_exit_layer,lose_verify_function,optimizator_type,metric,test_quota,epochs,amostras,use_hard_test_data_to_validate_model,images_folder_path,result_metric,result_loss,metric_name
0,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,sgd,accuracy,0.1,16,2048,True,./RN/,0.38983333110809326,0.3209822475910187,accuracy
1,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,sgd,mean_squared_error,0.1,16,2048,True,./RN/,0.08551029115915298,0.3158474564552307,mean_squared_error
2,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,sgd,mean_absolute_error,0.1,16,2048,True,./RN/,0.17577959597110748,0.3205157220363617,mean_absolute_error
3,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,adam,accuracy,0.1,16,2048,True,./RN/,0.9610000061988831,0.013470252975821495,accuracy
4,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,adam,mean_squared_error,0.1,16,2048,True,./RN/,0.003032412612810731,0.012517726980149746,mean_squared_error
5,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,adam,mean_absolute_error,0.1,16,2048,True,./RN/,0.004291127435863018,0.012660072185099125,mean_absolute_error
6,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,rmsprop,accuracy,0.1,16,2048,True,./RN/,0.9701666831970215,0.019829804077744484,accuracy
7,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,rmsprop,mean_squared_error,0.1,16,2048,True,./RN/,0.003255334449931979,0.013092701323330402,mean_squared_error
8,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,rmsprop,mean_absolute_error,0.1,16,2048,True,./RN/,0.004015745595097542,0.012618848122656345,mean_absolute_error
9,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,adagrad,accuracy,0.1,16,2048,True,./RN/,0.12566666305065155,0.4130169153213501,accuracy
10,397.0,397.0,397.0,10,relu,relu,softmax,binary_crossentropy,adagrad,mean_squared_error,0.1,16,2048,True,./RN/,0.0892321914434433,0.3866540491580963,mean_squared_error
